Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
一	yī	ʔit	ʔit	ʔjǝt	ʔjǝt	ʔjit	ʔjit	ʔjit	ʔjit	be one, single, whole	1) один, единица; 2) единство; одинаковый; объединить; 3) весь; целиком; 4) раз...; как только...; 5) при повторении глагола обозначает однократность действия	As in some other cases, Viet. has secondary nasalisation of the initial.	Sino-Tibetan etymology	Dialectal data	1	1	0394 a-d	iti	itu	ichi;itsu;hitotsu	nhất	ji6, ji5	ji6, ji5	e6	25.1, 25.2, 40.2, 40.3			
乙	yǐ	ʔrǝt	ʔrǝt	ʔrǝt	ʔrǝt	ʔit	ʔit	ʔit	ʔit	the 2d of the Heavenly Stems	1) второй знак десятеричного цикла; второй, литер Б; 2) один, вм. 一; 3) точки, запятые ( проставляемые при чтении текста без пунктуации ); 4) корректурный знак вставки			Dialectal data	5	7777	0505 a-e									衣肸	質	象春艸木冤曲而出陰气. 尚彊. 其出乙乙也. 與丨 同意. 乙承甲象人頸. 凡乙之屬皆從乙.
丁	dīng	tēŋ trēŋ	tēŋ	tēŋ	tiēŋ	tiēŋ	tiēŋ	tiēŋ	tieŋ ṭạiŋ	4th Heavenly Stem; to beat, strike	1) четвертый циклический знак десятеричного цикла; четвертый; 2) совершеннолетний ( о мужчине ); призывник; душа, едок; подушный; взрослый рабочий (работник); 3) слуга, дворовый; 4) подходить; подходящий; как раз; как раз в ( какой-л. момент ); 5) иероглиф; буква; 6) гвоздь; макушка, вм. 釘 и 頂; 7) нести на себе; навлекать на себя; подвергаться; 8) Т-образный, тавровый; 9) Дин ( фамилия )	A somewhat later meaning (attested since Jin) is 'nail, peg' - more usually written as 釘. Within the onomatopoeic reduplication 丁丁 "go zheng zheng, sound of beating" the character is read as *trēŋ, MC ṭạiŋ (FQ 中莖), Pek. zhēng, Go tiyau, Kan tau (thus in Shi 7,1). Besides the ST etymology it is interesting to note Common Austronesian *tijaŋ 'Pfahl, Stange' (VLAW 137).	Sino-Tibetan etymology	Dialectal data	1	2925	0833 a-d	tiyau	tei	chō;tei;hinoto;ataru	d_inh				7.1_	低經 [a] 知耕 [b]	青 [a] 庚 [b]	夏時萬物皆丁實. 象形. 丁承丙. 象人心. 凡丁之屬皆從丁.
七	qī	shit	shit	shjǝt	shjǝt	shjit	shjit	shjit	chjit	be seven	1) 7 ( цифра ); седьмой; июль; семь раз, семью...; 2) неделя		Sino-Tibetan etymology	Dialectal data	1	7188	0400 a-d	siti	situ	shichi;nanatsu	thất	ćhi6	ćhi6	chi6	20.1_, 32.3, 32.4	砌一	質	陽之正也. 從一. 微陰. 從中. 衰出也. 凡七之屬皆從七.
乃	nǎi	nhǝ̄ʔ	nhǝ̄́	nhǝ̄́	nhǝ̄́	nhǝ̄́	nhǝ̄́	nhǝ̄́j	nʌ́j	then, and then, now; your (possess.)	1) перед сказуемым то, тогда, и тогда; именно; только тогда; 2) на месте связки именно и есть, является ничем иным, как...; 3) в начале предложения но вот; зато, напротив; однако, но; в то время, прежде; 4) древн. ты, твой; 5) древн. эмфатическая частица	Regular Sino-Viet. is nãi; cf. perhaps also nay 'now, at present, at this  time'. For *nh- cf. Chaozhou nai4.	Sino-Tibetan etymology	Dialectal data	4	4609	0945 a-c				nãy				29.1, 29.2, 29.3, 51.3			
九	jiǔ jiū	kʷǝʔ [kru?]	kwǝ́	kǝ́w	kǝ́w	kíw	kǝ́w	kǝ́w	kǝ́w kǝw	be nine	1) девять; девятый; 2) множество, все		Sino-Tibetan etymology	Dialectal data	5	7727			0			ćɨ1	ćɨ1	ći1		紀有 [a] 基優 [b] 奇尤 [c]	有 [a] 尤 [b]	陽之變也. 象其屈曲究盡之形. 凡九之屬皆從九.
了	liǎo le	rēwʔ (~ -ī-)	rḗw	rjā́w	riā́w	liḗw	liḗw	liḗw	líew	to complete, fulfill [Han]	1) закончить, завершить; решить; разрешить; понять; 2) конечный суффикс возможности или невозможности совершения действия ; [-le] 1) глагольный суффикс совершенного вида ( законченности действия ); 2) конечная частица предложения, подчеркивающая а) категоричность суждения ; б) становление состояния ; в) законченность действия	A late grammaticalized usage is for the modern perfective particle le. For *r- cf. Fuzhou lau 3 ; Siam. lɛ̄̀u.		Dialectal data	6	3031												
二	èr	nijs	nić	njǝś	ńǝś	ńiś	ńìj	ńì	ńì	two	1) два; второй; 2) двойной; дважды; 3) второй номер, помощник	For early OC a reconstruction *nit-s is also possible. Viet. has an interesting opposition: nhị 'two' - nhì 'second' - the basis for it within Chinese is not clear. For *n- cf. Xiamen ʒi 6 , li 6 , Chaozhou zi 6 , Fuzhou ne 6 , Jianou ni 6 .	Sino-Tibetan etymology	Dialectal data	7	2	0564 a-f				nhị	ne6	ne6		44.1, 44.2, 58.4			
人	rén	nin	nin	njǝn	ń́ǝn	ńin	ńin	ńin	ńin	human being, person, man; other persons, others; a person, someone	1) человек, люди; человеческий; человечный; очеловечить; по-человечьи; 2) лицо, субъект, особа, персона, личность; 3) другой, другие, кто-то, кто-либо ( обычно после глаголов в качестве прямого дополнения, часто не переводится ); все; 4) древн. подневольные, служилый люд; 5) Жэнь ( фамилия ; входит также в двойные фамилии ); 6) ядро, зерно ( плода ), см. 仁	For initial *n- cf. Min forms: Xiamen laŋ 2 , Chaozhou naŋ 2 , Fuzhou nöüŋ 2 , Jianou nɛiŋ 2 .  The closest external parallel is probably Tib. ńen, gnen 'a relative' - obviously derived from ńe 'near' (= OC 邇 *nejʔ q.v.). Thus OC *nin is an old -n-derivate < *nej-n.		Dialectal data	9	4777	0388 a-e				nhân	jĩ7	ńi7	ńi7	3.1, 6.3_, 27.3, 27.4, 28.4_, 29.1, 29.2, 29.3, 32.2_, 32.3, 32.4, 34.4, 38.2, 38.4_, 40.2, 40.3, 42.3, 45.1_, 45.2, 47.3, 49.1, 49.2, 50.3_, 51.3_, 52.1, 52.2, 52.3, 54.3, 56.1, 56.2, 56.3, 57.1, 57.3			天地之性最貴者也. 此籀文.象臂脛之形.凡人之屬皆從人. [365]
入	rù [rǔ] [rì]	nǝp	nǝp	nǝp	ńǝp	ńip	ńip	ńip	ńip	to enter, go into	1) входить, вступать; вводить; проникать; вклиниваться; 2) подходить; достигать, доходить; 3) принять участие; войти ( в дело , в пай ); 4) поступления, доходы; ввоз, импорт; 5) внутри; 6) заходить; закат; 7) попасть; оказаться подходящим; 8) см. 入聲; [rǔ] 1) засунуть, положить не туда, куда надо; 2) дать тайком; 3) провалиться, свалиться в...; упасть ( напр. в грязь )	For *n cf. Xiamen ʒip 8 , lip 8 , Chaozhou zip 8 , Fuzhou ik 8 .	Sino-Tibetan etymology	Dialectal data	11	6367	0695 a-d				nhập				40.2, 40.3	日力	緝	內也. 象從上俱下也. 凡入之屬皆從入.
八	bā	prēt	prēt	prjāt	priāt	piẹ̄t	piẹ̄t	piẹ̄t	pạ̈t	eight	1) восемь; восьмой; восемью; 2) все; везде, повсюду		Sino-Tibetan etymology	Dialectal data	12	6359	0281 a-d				bát	pia6	pia6	ćua6				
几	jǐ	krǝjʔ	krǝ́j	krǝ́j	krǝ́j	kíj	kíj	kí	kí	stool	столик	Also used for *krǝj 'be stud-adorned'. Regular Sino-Viet. is  ky`.	Sino-Tibetan etymology		16	7677					ghế							
刀	dāo	tāw	tāw	tāw	tāw	tāw	tāw	tāw	tâw	knife	1) нож; меч; бритва; 2) древн. монета ( в форме меча ); 3) резец для письма; 4) кипа ( бумаги )	Viet. dao is colloquial; regular Sino-Viet. is d_ao. A related form is probably 鉊 *taw 'big sickle' q.v. (with further parallels).		Dialectal data	18	4176	1131 a-b				dao	-tã4	-ta5	-ti4				
刁	diāo	tēw	tēw	tjāw	tiāw	tiēw	tiēw	tiēw	tiew	cunning, wily [LZ]	1) коварный, подлый; 2) держать во рту (в зубах), вм. 叼; 3) Дяо ( фамилия )			Dialectal data	18	4174												
力	lì	rǝk	rǝk	rǝk	rǝk	lɨk	lɨk	lɨk	lik	sinew; strength, force, power	1) сила; энергия; мощь; могущество; 2) способности, данные; возможности; ресурсы; 3) усилия; прилагать усилия, трудиться; усиленно, упорно; энергично, изо всех сил; 4) физическая работа; рабочая сила; чернорабочий; 5) Ли ( фамилия )	In Viet. cf. also an earlier colloquial loan: sú'c 'strength, force'. For *r- cf. Min forms: Xiamen lat 8 , Chaozhou lak 8 , Fuzhou lik 8 , Jianou li 8 .	Sino-Tibetan etymology	Dialectal data	19	4670	0928 a-b				lụ'c	-ɣɨ2		ɣɨ2	38.2			
匕	bǐ	pijʔ	píj	pjǝ́j	pjǝ́j	pjíj	pjíj	pjí	pjí	spoon	1) ложка; черпак, ковшик; 2) кортик, кинжал; наконечник стрелы				21	6921	0565 a, 566 m											
十	shí	gip	gip	gjǝp	gjǝp	gjip	gjip	gjip	ʒ́ip	be ten	1) десять; десятикратный; из десяти; 2) октябрь; 3) целиком, полностью, на 100%	For unaspirated *g- cf. Xiamen cap 8 , Chaozhou cap 8 , Fuzhou sek 8 .	Sino-Tibetan etymology	Dialectal data	24	2225	0686 a-d				thập	cɛ2	ci2	čer2				
卜	bǔ [pú] [bū] [+bó]	pōk	pōk	pōk	pōk	pōk	pōk	pwōk	puk	divine by bone or tortoise shell oracle	1) гадать; гадание; 2) предвидеть, знать заранее; предвиденное; 3) уст. выбирать по гаданию ( напр. место жилья, соседей, службу ); 4) Бу ( фамилия )		Sino-Tibetan etymology		25	1953	1210 a-d								50.2, 58.2	補屋	屋	灼剝龜也. 象灸龜之形. 一曰. 象龜兆之從橫也. 凡卜之屬皆從卜.
又	yòu	wǝʔs	wǝh	wǝh	wǝh	wǝ̀w	wǝ̀w	wǝ̀w	ɦǝ̀w	to repeat; again, still, further	1) опять, еще; еще раз; еще один; снова, опять; 2) союз между сказуемыми ( часто с удвоением ) и, да, да и; 3) усилительный союз перед сказуемым да; и; тем более; 4) союз, отделяющий дробь от целого , меньшее деление от большего ; 5) в начале фразы показатель абзаца и далее, дальше; затем, итак; 6) древн. правая рука	For *w- cf. Min forms: Xiamen, Fuzhou, Jianou iu 6 , Chaozhou iu 4 . Sometimes written as 有 (although the words are probably not related).		Dialectal data	29	6407												
三	sān	sǝ̄m	sǝ̄m	sǝ̄m	sǝ̄m	sǝ̄m	sǝ̄m	sǝ̄m	sâm	be three	1) три; третий; 2) тройной; 3) три месяца, квартал; [sàn] трижды; [sā] втроем, трое	Also read sàn, MC sầm (FQ 蘇暫), OC *sǝ̄m-s. The development *-ǝ̄m >  -âm is irregular (established by OC rhymes).	Sino-Tibetan etymology	Dialectal data	1	8	0648 a-c	san	san	san;mitsu	tam	sã4	sa4	sã4	20.2_, 21.1, 50.3, 58.4, 58.5			
下	xià	ghrāʔ	ghrā́	ɣrā́	ɣrǟ́	ɣạ̄́	ɣạ̄́	ɣạ̄́	ɣạ́	to descend; down, below	1) низ; нижний; внизу, снизу; вниз; 2) послелог обстоятельства места под; 3) следующий, последующий; нижеследующий; будущий; 4) низшего сорта, худший, низший; 5) подлый; 6) спускать(ся); служебный глагол направления к, в; 7) издать, отдать; 8) засевать ( хлеба ); 9) класть ( яйца ); метать ( икру , детенышей животных ); 10) идти, выпадать; 11) посетить, прийти в ( ресторан ); остановиться в ( гостинице ); 12) разослать ( приглашения ); выпустить; 13) потратить ( время , усилия ); 14) взять ( город ); покорять(ся), пасть; 15) проявить ( энергию , решимость ); 16) удар; раз; 17) сторона; 18) левый; [-xia] суффикс направления действия ( вниз ) и совершенного вида действия	Also read *ghrāʔ-s, MC ɣạ̀ (FQ 胡駕)'to descend; fall'. For *gh cf. Xiamen e 6 , Chaozhou e 4 , Fuzhou a 6 , Jianou a 8 .	Sino-Tibetan etymology	Dialectal data	1	1973	0035 a-c	ge	ka	ka;ge;shita;shimo;moto;sageru;sagaru;kudaru;kudasu;kudasaru;orosu;oriru	hạ	ɣɛ1-	er1-	-ji1-	15.3_, 19.3_, 28.3, 29.1, 29.2, 31.3_, 32.3_, 33.2, 35.1			
