Character	Number	Chinese etymology	MC description	ZIHUI	Beijing	Jinan	Xi'an	Taiyuan	Hankou	Chengdu	Yangzhou	Suzhou	Wenzhou	Changsha	Shuangfeng	Nanchang	Meixian	Guangzhou	Xiamen	Chaozhou	Fuzhou	Shanghai	Zhongyuan yinyun
一	1	Chinese etymology	臻開三入質影	0001 0707	i 11	i 11	i 11	iǝʔ 41	i 12	i 12	iǝʔ 4	iôʔ 41	iai 41	i 4	i 12	it 41	jit 41	jat 41	it 41 (lit.); cit 41	ik 41	eiʔ 41	iîʔ 4	i 43
乙	2	Chinese etymology	臻開三入質影	0044 0718	i 2	i 11	i 11	iǝʔ 41	i 12	i 12	iǝʔ 4	iôʔ 41	iai 41	ie 4	iɛ 12	it 41	jat 41	jyt 41	it 41	ik 41	eiʔ 41	iîʔ 4	i 43
丁	3	Chinese etymology	梗開四平青端	0002 2531	tiŋ 11	tiŋ 11	tiŋ 11	tiŋ 1	tin 11	tin 11	tĩ 11	tin 11	teŋ 11	tin 11	tin 11	tin 11 (lit.); tiaŋ 11	tɛn 11	tîŋ 11	tîŋ 11	teŋ 11	tiŋ 11	tiŋ 1	tiǝŋ 1
七	4	Chinese etymology	臻開三入質清	0003 0668	ćhi 11	ćhi 11	ćhi 11	ćhiǝʔ 41	ćhi 12	ćhi 12	ćhiǝʔ 4	chiôʔ 41	chai 41	chi 4	ćhi 12	ćhit 41	chit 41	čhat 41	chit 41 (lit.)	chik 41	cheiʔ 41	chîʔ 4	chi 42
乃	5	Chinese etymology	蟹開一上海泥	0035 1059	nai 2	nɛ 3	nɛ 2	nai 2	nai 2	nai 2	nɛ 2	ne_ 11	na 22; na 11	nai 2	na 2	lai 2	nai 11	nai 22	naĩ 2	nai 22	nai 2	ne_ 32	nai 2
九	6	Chinese etymology	流開三上有見	0046 1592	ćiou 2	ćiou 2	ćiou 2	ćiou 2	ćiou 2	ćiǝu 2	ćiôɨ 2	ćiöy 2	ćiau 21	tôu 2	ćiû 2	ćiu 2	kiu 2	kau 21	kiu 2  (lit.); kau 2	kau 21	kieu 2  (lit.); kau 2	ćiɨ 3	kiou 2
了	7	Chinese etymology	效開四上篠來	0055 1436	liau 2	liɔ 2	liau 2	liau 2	niau 2	niau 2	liɔ 2	liä 32	liɛ 22	niau 2	niǝ 2	liɛu 2	liau 2	liu 22	liau 2	liǝu 21	lau 2	liɔ 32	liau 2
二	8	Chinese etymology	止開三去至日	0059 0527	ǝ̂ 3	ǝ̂ 3	ǝ̂ 3	ǝ̂ 3	ɨ 3	ǝ̂ 3	â 3	l 32	ŋ 32	ô 32	ie 32	з̂ 32	ńi 3	ji 32	ʒi 32	zi 32	nei 32	liã 32	ži_ 3
人	9	Chinese etymology	臻開三平真日	0086 2082	ẓǝn 12	ẓẽ 12	ẓẽ 12	zǝŋ 1	nǝn 12	zǝn 12	lǝn 12	zǝn 12 (lit.); ńin 12	zaŋ 12	ẓǝn 12	in 12	lan 31	ńin 12	jan 12	ʒin 12 (lit.); laŋ 12	naŋ 12	iŋ 12 (lit.); löyŋ 12	zǝŋ 32 (lit.); ńiŋ 32	žiǝn 12
入	10	Chinese etymology	深合三入緝日	0354 0904	ẓu 3	lu 3	vu 11	zuǝʔ 41	y 12	zu 12	lǝʔ 4	zôʔ 41	zai 42	y 4	y 31	lat 41	ńip 42	jap 42	ʒip 42	zip 42	iʔ 42	zôʔ 42	žiu 43
八	11	Chinese etymology	山開二入黠幫	0360 0012	pa 11	pa 11	pa 11	paʔ 41	pa 12	pa 12	paʔ 4	poʔ 41	po 41	pa 4	pa 12	pat 41	pat 41	pāt 43	pat 41 (lit.); pueʔ 41	poiʔ 41	paiʔ 41	paʔ 4	pa 42
刀	12	Chinese etymology	效開一平豪端	0430 1302	tau 11	tɔ 11	tau 11	tau 1	tau 11	tau 11	tɔ 11	tä 11	tз 11	tau 11	tǝ 11	tau 11	tau 11	tou 11	to 11	to 11	tɔ 11	tɔ 1	tau 1
刁	13	Chinese etymology	效開四平蕭端	0431 1421	tiau 11	tiɔ 11	tiau 11	dtiau 1	tiau 11	tiau 11	tiɔ 11	tiä 11	tiɛ 11	tiau 11	tiǝ 11	tiɛu 11	tiau 11	tiu 11	tiau 11	tiǝu 11	tieu 11	tiɔ 1	tiau 1
力	14	Chinese etymology	曾開三入職來	0500 0621	li 3	li 3	li 11	liǝʔ 41	ni 12	ni 12	liǝʔ 4	liôʔ 42	lei 42	ni 4	ni 31	lit 41	lit 42	lîk 42	lîk 42 (lit.); lat 42	lak 42	liʔ 42	lîʔ 42	li 43
十	15	Chinese etymology	深開三入緝襌	0577 0493	ṣî_ 12	ṣî_ 12	ṣî_ 12	sǝʔ 42	si_ 12	si_ 12	sǝʔ 4	zôʔ 42	zai 42	ṣî_ 4	ṣî_ 31	sǝt 41	sǝp 42	šap 42	sip 42 (lit.); cap 42	cap 42	seiʔ 42	zaʔ 42	ši 41
又	16	Chinese etymology	流開三去宥云	0642 1619		iou 3	iou 3	iou 3	iou 3	iǝu 3	iôɨ 3	iöy 32	ɦiau 32	iôu 31 (lit.); iôu 32	iû 32	iu 32	jiu 3	jau 32	iu 32	iu 22	ieu 32	iɨ 32	iou 3
三	17	Chinese etymology	咸開一平談心	0005 1704	san 11	sã 11	sã 11	sä̃ 1	san 11	san 11	sɛ̃ 11	se_ 11	sa 11	san 11	sã 11	san 11	sam 11	šām 11	sam 11 (lit.); sã 11	sã XH	saŋ 11	se_ 1	sam 3
下	18	Chinese etymology	A: 假開二上馬匣; B: 假開二去禡匣	A: 0007 0103; B: 0007 0104	A: śia 3; B: śia 3	A: śia 3; B: śia 3	A: śia 3; B: śia 3	A: śia 3; B: śia 3	A: śia 3  (lit.); xa 3; B: śia 3	A: śia 3; B: śia 3	A: xâ 3; śiâ 3  (lit.); B: śiâ 3  (lit.); xâ 3	A: ia_ 32 (lit.); ɦo 32; B: śia_ 31 (lit.); ɦo 32	A: ɦo 22; B: ɦo 22	A: ia 32 (lit.); xa 32; B: śia 32 (lit.); xa 32	A: ɣio 32 (lit.); ɣo 32; B: ɣio 32 (lit.); ɣo 32	A: ha 32; B: ha 32	A: ha 3; B: ha 3	A: ha 22; B: ha 32	A: ha 32 (lit.); he 32; e 32; B: ha 32 (lit.); he 32; e 32	A: e 22; B: hia 22	A: a 32; B: xa 32	A: ɦo 32; B: ɦo 32	A: xa 3; B: xa 2
丈	19	Chinese etymology	宕開三上養澄	0004 2275	c̣aŋ 3	c̣aŋ 3	c̣aŋ 3	ca_̃ 3	caŋ 3	caŋ 3	câŋ 3	zaŋ 32	ʒ́i 22	c̣an 31 (lit.); c̣an 32	daŋ 32	chɔŋ 32	chɔŋ 3	čö_ŋ 32	tiɔŋ 32 (lit.); tiũ 32; tŋ 32	ciaŋ 22	tuɔŋ 32	zã 32	čiaŋ 3
